City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
95,Porto Walter,BR,-8.2686,-72.7439,70.65,99,94,1.52,overcast clouds,2022-06-02 03:42:14
96,Banjar,ID,-8.19,114.9675,88.34,59,64,3.2,broken clouds,2022-06-02 03:42:15
97,Port Alfred,ZA,-33.5906,26.891,57.79,68,84,8.59,broken clouds,2022-06-02 03:39:04
98,Hermanus,ZA,-34.4187,19.2345,56.16,81,12,6.51,few clouds,2022-06-02 03:42:16
99,Ahipara,NZ,-35.1667,173.1667,59.88,83,48,19.8,scattered clouds,2022-06-02 03:42:17
100,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,91,100,7.58,overcast clouds,2022-06-02 03:42:18
101,Awjilah,LY,29.1081,21.2869,79.34,23,0,4.25,clear sky,2022-06-02 03:42:18
102,Puerto Carreno,CO,6.189,-67.4859,75.38,88,77,7.94,broken clouds,2022-06-02 03:39:11
103,Lampa,CL,-33.2833,-70.9,48.02,76,75,5.75,shower rain,2022-06-02 03:42:20
104,Salalah,OM,17.0151,54.0924,84.29,79,75,4.61,broken clouds,2022-06-02 03:42:21
105,Puerto Ayora,EC,-0.7393,-90.3518,71.6,91,97,9.37,overcast clouds,2022-06-02 03:39:57
106,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds,2022-06-02 03:42:22
107,Port Macquarie,AU,-31.4333,152.9167,61.9,49,100,4.79,overcast clouds,2022-06-02 03:42:22
108,Cidreira,BR,-30.1811,-50.2056,54.57,76,100,6.85,overcast clouds,2022-06-02 03:42:23
109,Namatanai,PG,-3.6667,152.4333,82.51,69,98,2.75,light rain,2022-06-02 03:42:24
110,Shimoda,JP,34.6667,138.95,76.1,65,9,6.89,clear sky,2022-06-02 03:42:24
111,Gazimurskiy Zavod,RU,51.5461,118.3266,68.94,28,15,4.36,few clouds,2022-06-02 03:42:25
112,Port Moresby,PG,-9.4431,147.1797,89.02,62,40,11.5,scattered clouds,2022-06-02 03:42:26
113,Port Elizabeth,ZA,-33.918,25.5701,53.89,84,0,8.05,clear sky,2022-06-02 03:42:27
114,La Ronge,CA,55.1001,-105.2842,55.65,30,100,14.97,overcast clouds,2022-06-02 03:42:22
115,Mahebourg,MU,-20.4081,57.7,71.26,88,20,4.61,few clouds,2022-06-02 03:42:28
116,Kapaa,US,22.0752,-159.319,82.38,88,100,10.36,light rain,2022-06-02 03:42:28
117,Necochea,AR,-38.5473,-58.7368,45.64,72,100,4.0,overcast clouds,2022-06-02 03:37:53
118,Gedo,ET,9.0167,37.45,54.09,63,42,1.1,scattered clouds,2022-06-02 03:42:29
119,Kaitangata,NZ,-46.2817,169.8464,51.37,90,100,8.12,overcast clouds,2022-06-02 03:42:30
120,Ponta Do Sol,PT,32.6667,-17.1,66.7,80,33,9.44,scattered clouds,2022-06-02 03:42:30
121,Aloleng,PH,16.1307,119.7824,85.3,70,99,13.42,overcast clouds,2022-06-02 03:42:32
122,Aklavik,CA,68.2191,-135.0107,60.85,62,99,8.41,overcast clouds,2022-06-02 03:42:32
123,Arraial Do Cabo,BR,-22.9661,-42.0278,71.64,91,90,10.98,overcast clouds,2022-06-02 03:42:33
124,Lebu,CL,-37.6167,-73.65,43.11,77,100,6.85,overcast clouds,2022-06-02 03:42:33
125,Liverpool,GB,53.4106,-2.9779,47.82,91,12,5.75,few clouds,2022-06-02 03:42:34
